trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
903,1,20190101,238,239,2,1,1,1.2,6.0,7.3,NO,4
904,1,20190101,239,238,2,1,1,1.2,6.5,7.8,NO,5
905,1,20190101,238,143,2,1,1,1.3,6.0,7.3,NO,4
906,2,20190101,263,143,1,1,1,2.41,11.0,16.3,NO,12
907,2,20190101,143,173,2,1,1,7.53,26.5,27.8,NO,31
908,2,20190101,170,229,2,1,1,1.61,9.0,10.3,NO,10
909,2,20190101,229,142,2,1,1,2.38,11.5,12.8,NO,14
910,2,20190101,68,228,1,1,1,9.81,31.5,42.64,NO,29
911,2,20190101,228,226,1,1,1,14.06,51.0,52.3,NO,68
912,2,20190101,163,162,1,1,4,0.9,7.0,10.79,NO,8
913,2,20190101,236,232,1,1,4,5.87,19.0,23.34,NO,18
914,2,20190101,138,181,2,1,2,13.47,37.0,38.3,NO,20
915,2,20190101,261,79,2,1,2,3.87,13.0,14.3,NO,11
916,2,20190101,263,140,2,1,1,0.9,5.0,6.3,NO,4
917,2,20190101,140,229,2,1,1,1.1,6.5,7.8,NO,6
918,2,20190101,162,161,1,1,1,0.56,6.5,9.36,NO,8
919,2,20190101,230,50,1,1,1,1.78,15.0,18.3,NO,24
920,1,20190101,231,79,1,1,2,1.5,9.0,11.3,NO,11
921,1,20190101,235,42,1,1,2,3.2,13.5,14.8,NO,16
922,1,20190101,237,48,1,1,3,2.9,15.0,19.55,NO,20
923,1,20190101,144,232,2,1,1,1.1,7.0,8.3,NO,7
924,1,20190101,79,263,2,1,2,4.6,16.5,17.8,NO,19
925,1,20190101,263,140,1,1,1,1.0,6.5,8.8,NO,6
926,1,20190101,132,147,2,1,1,17.7,48.0,55.06,NO,30
927,1,20190101,162,170,1,1,1,0.7,6.0,11.3,NO,7
928,1,20190101,164,170,1,1,3,0.8,5.5,8.15,NO,5
929,2,20190101,237,162,2,1,2,0.74,5.0,6.3,NO,3
930,2,20190101,87,162,1,1,2,5.28,17.0,21.96,NO,13
931,2,20190101,170,162,2,1,3,0.73,6.0,7.3,NO,6
932,2,20190101,137,137,2,1,3,0.31,3.5,4.8,NO,1
933,2,20190101,137,68,2,1,2,1.71,12.5,13.8,NO,1436
934,2,20190101,265,265,1,5,1,0.34,160.0,185.3,NO,0
935,2,20190101,162,238,1,1,1,2.51,10.0,12.8,NO,9
936,2,20190101,43,236,2,1,1,0.93,5.5,6.8,NO,4
937,2,20190101,236,165,2,1,2,16.48,48.0,49.3,NO,1423
938,2,20190101,113,137,2,1,1,1.94,10.5,11.8,NO,13
939,2,20190101,137,45,1,1,1,4.14,14.5,20.8,NO,12
940,2,20190101,144,232,1,1,1,1.11,8.0,11.16,NO,10
941,2,20190101,79,198,2,1,1,6.23,27.0,28.3,NO,38
942,2,20190101,79,148,2,1,4,0.49,4.5,5.8,NO,3
